own_EBR;own_smartphone;own_iPad;bought_ebook;ebook_UB;emag_UB;type_1;type_2;type_3;type_4;type_5;type_6;type_7;type_8;interest_1;interest_2;interest_3;interest_4;interest_5;interest_6;interest_7;interest_8;interest_9;interest_10;reason_1;reason_2;reason_3;reason_4;reason_5;reason_6;reason_7;reason_8;newsletter;blogs;social_media;sex;age;faculty
maybe;maybe;maybe;maybe;maybe;maybe;1;2;2;5;5;1;1;4;2;4;4;3;2;1;4;4;4;3;2;1;1;3;2;3;4;4;7;5;5;1;24;3
maybe;maybe;maybe;maybe;yes;yes;2;4;2;5;5;1;1;2;2;1;3;2;1;3;3;4;4;2;1;3;2;2;2;2;4;1;1;4;5;0;25;6
no;maybe;no;no;yes;maybe;2;2;1;4;5;2;2;2;3;1;3;2;3;2;2;1;1;1;1;2;1;1;2;2;3;4;4;5;2;1;21;7
no;no;no;no;maybe;yes;1;1;2;3;4;1;2;2;3;4;4;1;1;2;4;4;2;2;1;1;2;1;1;1;1;3;6;3;1;1;27;3
maybe;maybe;maybe;maybe;maybe;maybe;5;4;4;5;5;2;2;3;2;1;3;2;2;1;2;2;2;2;1;1;3;3;2;2;2;1;8;4;2;1;21;4
no;maybe;no;maybe;maybe;maybe;2;5;4;5;5;4;4;3;1;3;4;3;4;4;2;1;1;1;1;4;5;1;1;2;4;1;5;5;1;1;22;3
maybe;no;no;maybe;yes;yes;1;5;4;5;5;1;5;5;1;4;4;3;2;2;4;3;3;3;1;1;1;3;1;1;1;1;1;5;5;1;41;3
maybe;maybe;no;yes;maybe;maybe;3;5;2;4;4;3;1;4;2;4;4;2;2;2;2;3;3;2;1;3;4;3;2;1;3;1;1;4;1;0;25;6
maybe;maybe;maybe;maybe;maybe;maybe;2;5;2;5;5;1;1;2;1;3;4;2;1;2;2;3;3;3;1;1;3;2;2;1;1;1;6;5;5;0;24;6
maybe;yes;maybe;yes;yes;yes;1;2;2;3;4;1;1;2;2;2;2;3;1;1;3;3;4;2;2;3;4;2;3;1;1;5;6;4;4;0;34;7
no;no;no;no;no;no;1;2;2;3;4;2;1;4;2;4;4;2;2;1;3;3;3;3;1;2;2;1;1;1;1;1;2;5;5;1;41;3
no;maybe;no;no;yes;yes;2;5;2;5;4;3;1;2;2;4;4;1;3;2;2;1;1;3;1;1;1;1;3;1;1;1;1;5;2;1;22;7
maybe;maybe;maybe;maybe;maybe;maybe;1;2;2;3;4;1;3;2;1;1;3;3;2;3;3;3;3;3;1;1;3;1;1;1;1;2;4;2;1;0;26;3
maybe;no;no;maybe;maybe;maybe;2;4;2;4;5;1;4;2;3;1;2;3;1;3;1;2;2;3;1;2;3;5;1;3;2;2;5;5;4;0;24;2
no;maybe;no;no;no;no;1;3;5;4;5;1;2;2;2;2;4;3;1;1;2;2;2;3;1;2;2;2;3;1;3;1;5;2;1;1;22;2
no;no;no;no;no;no;1;3;2;4;4;1;1;3;2;3;4;1;3;1;4;3;3;1;1;2;4;2;1;1;3;1;1;5;2;1;26;7
no;no;no;no;no;maybe;3;3;2;4;5;1;1;2;3;2;3;3;2;1;4;4;3;3;1;3;4;1;2;1;4;3;2;4;2;0;20;4
no;maybe;maybe;maybe;yes;yes;1;1;4;2;1;2;2;5;3;3;3;1;3;2;4;3;3;2;1;3;4;1;2;1;1;2;7;5;3;1;26;4
no;maybe;no;maybe;maybe;maybe;4;3;2;5;5;4;1;5;2;3;4;3;1;1;4;4;4;3;1;2;3;1;1;3;3;1;6;4;4;1;32;4
maybe;maybe;maybe;maybe;maybe;maybe;1;5;2;3;5;5;2;2;4;2;4;2;2;2;2;2;2;2;1;3;4;2;2;3;2;1;1;5;1;1;21;4
no;no;no;no;yes;yes;1;2;1;3;2;1;2;2;2;4;4;3;1;2;3;4;4;3;1;5;5;2;3;1;1;3;11;2;1;0;24;4
maybe;no;no;no;maybe;yes;2;4;5;3;5;1;2;2;1;1;4;2;2;2;2;3;4;2;1;1;2;1;1;1;1;1;3;5;2;1;25;7
no;yes;no;maybe;no;no;2;2;2;2;4;1;1;2;2;3;3;1;2;3;1;1;1;1;1;1;2;1;1;4;1;4;5;2;1;1;22;2
no;no;no;no;no;no;2;3;1;5;4;1;5;4;2;4;4;2;3;1;4;4;4;2;1;3;4;1;2;1;1;3;5;4;4;1;37;5
no;no;no;no;no;no;5;4;3;3;4;2;2;3;3;2;4;1;1;2;2;3;3;1;1;2;4;1;2;1;1;1;1;5;2;1;26;
no;no;no;maybe;no;no;2;4;5;5;3;1;5;5;2;4;4;1;2;1;4;4;4;3;1;1;2;1;1;1;2;1;1;5;5;0;47;3
maybe;yes;maybe;maybe;maybe;maybe;1;1;2;5;5;1;5;4;3;2;4;4;2;1;4;4;4;3;5;2;5;5;1;4;1;5;11;5;4;0;49;4
no;yes;no;no;no;no;1;1;1;5;5;5;1;2;1;4;4;2;2;2;2;2;2;3;1;1;1;1;1;1;1;1;2;5;1;1;21;2
yes;maybe;maybe;yes;yes;maybe;1;3;1;3;4;2;2;2;2;2;3;1;2;1;1;1;1;2;1;1;4;2;2;2;1;3;11;5;1;1;33;4
no;maybe;no;no;no;no;1;5;4;4;4;2;2;3;3;2;3;1;2;3;2;1;1;1;1;1;2;2;2;1;2;1;2;5;1;1;20;2
no;no;no;no;yes;yes;1;1;1;2;4;2;1;2;1;2;2;1;2;2;2;2;2;2;1;1;2;1;1;1;2;1;3;4;1;1;21;3
maybe;yes;maybe;maybe;maybe;maybe;2;2;4;5;5;2;5;3;2;3;3;2;2;2;2;1;1;3;1;1;2;2;2;1;2;1;1;5;5;1;27;5
maybe;yes;no;no;yes;maybe;1;1;1;5;5;1;5;2;1;3;4;2;1;3;2;1;1;3;1;2;1;1;3;1;2;1;3;2;1;1;22;6
maybe;maybe;no;maybe;maybe;maybe;2;3;2;5;5;2;1;3;1;2;3;1;2;2;1;2;3;2;1;3;4;4;1;2;2;1;4;3;1;1;24;5
no;no;no;no;yes;yes;1;3;4;5;5;5;2;2;2;3;4;2;2;1;2;1;2;1;1;2;5;1;1;1;3;1;3;3;5;1;25;5
no;yes;no;no;no;no;2;3;2;5;5;1;1;2;1;2;4;2;2;2;2;2;2;2;1;1;1;1;1;1;2;1;1;5;5;1;21;3
no;no;maybe;maybe;maybe;maybe;2;5;2;3;2;1;5;3;1;1;4;1;2;2;3;3;3;3;1;1;2;2;1;2;2;2;1;5;5;1;50;2
maybe;no;no;maybe;maybe;maybe;2;1;2;4;5;5;2;3;3;2;2;1;2;1;1;4;1;1;1;3;2;3;5;1;1;1;6;5;1;1;22;6
maybe;no;no;maybe;maybe;maybe;2;5;2;2;5;2;1;2;2;3;4;3;2;2;3;4;4;3;1;2;2;1;1;1;1;1;3;3;5;1;21;4
no;no;no;no;no;no;1;4;5;5;5;3;2;3;1;4;4;1;1;1;4;4;4;2;1;1;5;5;1;3;5;5;7;5;2;1;25;3
yes;yes;maybe;maybe;yes;maybe;2;2;1;3;1;2;4;3;2;2;1;3;2;2;1;3;1;2;4;2;3;1;2;3;2;3;17;2;4;0;25;4
maybe;no;no;maybe;maybe;maybe;1;3;2;5;3;5;4;4;2;4;4;1;3;3;2;2;2;3;1;1;3;1;1;1;1;1;1;5;2;1;27;5
no;no;no;maybe;maybe;maybe;2;5;4;5;5;1;1;2;3;1;4;2;2;1;1;2;1;2;1;2;3;2;2;1;1;1;3;5;1;1;20;5
no;maybe;maybe;no;no;maybe;2;2;5;5;5;4;4;4;3;3;3;2;3;3;3;2;2;2;1;3;3;1;1;1;1;1;2;5;1;1;21;5
maybe;maybe;maybe;maybe;maybe;maybe;1;2;3;5;5;2;1;4;2;4;3;2;1;1;3;2;2;2;1;2;1;1;3;1;1;1;6;2;2;1;22;2
maybe;maybe;maybe;no;maybe;yes;1;2;2;3;3;4;5;4;2;3;3;1;2;1;2;2;2;1;1;1;1;1;1;1;1;1;6;3;2;1;29;4
maybe;maybe;maybe;maybe;maybe;maybe;4;4;3;4;5;2;5;2;2;4;4;2;2;3;3;2;2;2;1;1;3;2;2;1;1;1;1;5;1;1;21;3
no;no;no;no;no;no;2;2;1;4;5;1;2;3;2;2;3;2;4;3;4;4;4;2;1;2;2;2;2;1;4;2;2;5;3;1;24;5
no;no;no;yes;maybe;maybe;4;4;2;5;5;2;3;4;2;1;3;2;3;1;4;3;3;1;1;1;1;1;1;1;1;1;2;5;2;1;29;4
no;no;no;no;maybe;maybe;2;4;2;5;4;2;2;3;2;4;4;2;2;2;2;2;2;2;1;2;4;2;3;2;2;1;3;5;1;1;21;5
no;no;maybe;no;no;maybe;1;2;4;5;5;4;1;5;3;3;4;1;4;4;4;2;2;2;4;4;4;5;3;3;2;2;1;5;5;1;23;
maybe;maybe;maybe;maybe;maybe;maybe;1;2;1;5;5;2;2;2;1;3;3;1;2;2;2;2;3;1;1;1;1;1;1;1;1;1;11;5;3;1;45;3
no;no;no;maybe;no;no;2;2;1;5;5;2;1;3;1;4;4;2;2;2;3;4;4;2;1;1;1;1;1;1;1;1;6;5;4;1;28;3
no;no;no;no;yes;yes;1;2;2;2;4;2;5;2;3;1;4;2;2;1;3;2;1;2;1;1;4;1;1;1;3;1;3;3;2;1;23;4
no;no;no;yes;yes;yes;2;2;5;5;5;5;5;5;2;4;4;4;2;1;4;4;4;3;2;4;4;2;5;2;2;2;1;5;5;0;80;7
maybe;no;no;maybe;yes;maybe;1;1;1;5;5;5;5;4;1;3;4;1;1;3;2;1;1;1;1;1;2;1;1;1;1;1;1;2;5;1;24;2
maybe;yes;maybe;maybe;maybe;maybe;2;2;2;5;5;1;1;1;3;3;3;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;5;2;2;1;26;2
maybe;yes;no;maybe;maybe;maybe;2;2;1;5;5;2;1;3;3;1;4;2;1;2;4;4;4;4;3;4;2;1;3;4;2;1;7;1;1;0;22;6
no;no;no;yes;yes;yes;1;2;3;3;4;5;5;4;2;3;4;2;2;1;3;3;4;1;1;1;1;1;1;1;1;1;4;4;4;1;37;4
no;yes;no;no;no;no;2;4;2;5;5;2;2;2;1;2;3;2;2;2;3;3;4;3;1;1;3;3;2;3;3;3;3;1;1;0;22;3
no;no;maybe;no;maybe;maybe;1;2;2;5;5;5;2;3;3;1;2;1;3;3;3;3;4;3;1;1;1;1;1;1;1;1;6;5;1;0;26;1
no;no;no;no;maybe;maybe;2;2;1;5;5;5;5;4;2;3;2;2;3;2;3;3;3;3;1;1;2;1;1;1;1;1;2;5;4;1;22;3
maybe;maybe;maybe;maybe;maybe;maybe;3;2;3;3;1;2;3;3;1;3;2;2;2;3;3;2;1;2;1;3;2;3;3;4;2;3;5;2;3;0;35;6
maybe;no;no;maybe;maybe;yes;1;3;1;3;2;1;1;2;1;4;4;1;2;2;3;2;3;2;1;1;1;1;1;1;1;2;2;5;5;1;64;4
no;maybe;no;no;maybe;no;4;4;3;5;5;4;1;2;2;2;2;1;2;2;3;3;3;3;1;1;1;1;1;1;1;1;4;5;4;1;39;4
maybe;maybe;maybe;yes;maybe;maybe;3;3;2;5;5;5;4;5;3;4;3;2;2;2;2;3;3;3;1;1;1;1;1;1;1;1;4;5;1;1;22;
no;no;no;maybe;yes;maybe;1;1;3;5;5;1;4;2;1;1;1;2;1;1;3;3;3;2;1;1;2;1;1;2;4;5;16;2;5;0;27;3
no;maybe;no;no;no;no;2;2;3;4;5;2;2;3;3;2;3;4;2;1;3;4;4;3;1;1;1;1;1;1;2;2;4;3;5;0;45;4
no;no;no;maybe;maybe;maybe;1;3;5;5;5;1;1;1;2;4;2;3;1;1;4;3;3;4;1;1;1;1;1;1;1;1;3;5;3;0;40;3
maybe;no;no;maybe;maybe;maybe;1;2;1;5;5;1;5;2;1;4;4;3;1;2;4;4;4;1;2;1;1;1;1;1;1;1;7;5;5;0;47;3
maybe;yes;maybe;maybe;maybe;maybe;3;2;5;5;5;2;1;3;1;1;3;3;2;1;3;2;2;4;2;1;2;2;1;3;2;1;6;2;1;0;25;2
maybe;no;no;no;maybe;maybe;2;5;4;5;5;4;3;4;4;4;4;3;2;1;4;3;3;3;1;3;4;2;2;1;1;2;3;5;1;1;23;5
no;yes;no;maybe;maybe;no;4;5;4;5;5;2;1;5;2;3;4;1;3;1;3;3;3;3;2;2;3;2;1;1;2;2;4;3;1;0;24;7
maybe;maybe;maybe;yes;maybe;maybe;2;5;5;4;4;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;2;3;3;3;3;2;6;3;1;0;30;2
no;no;no;maybe;maybe;yes;4;2;5;5;5;1;1;2;2;2;3;3;2;1;1;4;4;4;1;4;4;3;1;1;1;1;1;2;1;0;26;4
no;no;no;no;no;maybe;1;4;1;4;5;1;1;1;1;4;4;2;1;2;1;1;1;3;1;1;1;1;1;1;1;1;3;2;1;1;25;2
maybe;maybe;maybe;maybe;maybe;maybe;2;2;3;5;5;5;1;3;2;4;1;2;1;3;2;2;1;1;1;2;1;1;1;1;1;1;4;5;1;1;21;6
maybe;no;no;maybe;maybe;maybe;3;4;5;5;3;2;2;2;1;3;2;1;1;3;4;4;4;2;1;5;2;2;3;1;1;3;4;4;4;0;24;6
no;no;no;no;maybe;maybe;2;5;5;5;5;1;1;1;2;2;1;1;1;1;4;3;3;3;1;3;2;1;1;1;1;1;1;5;1;0;21;4
no;maybe;maybe;no;maybe;maybe;1;1;3;5;4;1;3;2;1;1;3;1;2;2;2;2;2;2;1;2;3;1;1;1;2;2;4;5;1;1;22;3
no;yes;maybe;no;no;yes;1;2;3;3;4;1;1;3;2;2;3;2;1;1;3;3;3;2;1;2;2;1;4;1;2;1;1;1;1;0;22;4
maybe;maybe;no;no;yes;no;1;5;5;5;4;2;1;2;3;1;2;2;2;3;3;2;3;3;2;4;5;2;3;1;2;4;21;5;2;0;31;7
maybe;maybe;maybe;maybe;maybe;maybe;2;5;5;5;5;2;2;4;3;4;4;2;1;1;3;2;2;3;1;4;4;4;4;2;2;1;4;5;4;1;21;6
maybe;maybe;no;no;maybe;maybe;3;4;5;5;5;1;1;2;4;1;3;3;1;2;3;4;4;4;1;3;3;1;3;1;2;2;6;2;2;0;23;7
maybe;yes;maybe;yes;yes;yes;1;1;2;5;5;1;2;1;1;1;3;3;1;1;2;2;2;2;1;1;1;3;1;1;1;1;11;1;1;1;44;3
no;no;no;no;yes;yes;1;2;5;3;5;3;1;2;2;1;1;1;2;1;2;1;1;1;1;3;3;2;3;1;2;4;1;5;5;0;21;7
no;yes;no;maybe;no;no;1;4;4;5;5;2;4;2;1;1;4;2;1;3;3;4;4;2;2;5;5;1;5;2;3;4;3;1;2;0;28;6
maybe;no;no;maybe;maybe;maybe;1;2;1;5;5;1;1;3;4;3;1;3;2;3;2;4;4;4;1;1;1;1;1;1;1;1;2;1;1;0;22;2
maybe;no;no;no;yes;maybe;1;1;2;5;5;2;2;2;1;4;4;2;2;1;3;4;4;4;1;1;1;1;1;1;1;1;2;5;4;0;31;3
no;no;no;no;no;no;5;5;3;4;5;2;5;4;4;2;4;4;2;2;4;4;4;3;2;4;5;3;3;4;3;4;1;5;5;0;28;4
maybe;yes;no;maybe;maybe;maybe;3;2;3;3;5;2;2;3;3;4;4;2;1;1;3;3;3;3;1;3;3;2;1;4;5;1;5;1;1;0;24;6
no;yes;no;no;maybe;yes;2;3;4;5;5;2;1;5;1;3;4;2;1;2;3;2;2;2;1;1;3;1;1;1;2;1;2;5;2;1;25;6
no;no;no;no;no;no;1;2;1;3;5;1;1;2;1;3;4;2;3;2;3;3;3;2;1;1;2;1;2;1;2;1;1;5;2;1;32;3
maybe;maybe;maybe;yes;maybe;maybe;1;2;2;4;4;5;2;4;2;3;4;2;3;1;4;4;4;2;3;2;3;1;1;2;2;3;16;2;5;0;33;4
no;no;no;no;no;no;2;5;5;5;5;1;5;2;4;4;3;2;1;1;4;4;4;3;1;5;2;2;2;3;3;2;3;5;4;1;21;5
maybe;maybe;maybe;maybe;maybe;maybe;4;3;2;5;4;2;2;2;1;3;3;1;2;1;4;2;3;2;2;2;1;1;2;1;1;1;5;4;3;0;24;6
maybe;yes;no;maybe;maybe;maybe;2;2;4;5;5;2;1;2;3;2;2;2;2;2;4;4;4;3;3;3;4;2;2;2;2;2;3;3;1;0;23;6
no;yes;no;no;no;no;2;5;2;5;5;5;1;3;4;4;3;1;3;1;3;2;2;3;1;5;2;1;5;2;3;4;4;5;5;1;26;5
maybe;maybe;maybe;no;maybe;maybe;1;5;4;5;5;1;5;4;2;3;4;3;2;3;3;4;4;3;1;2;2;1;1;1;2;1;5;5;2;1;28;2
no;no;no;no;maybe;maybe;1;1;1;4;3;1;2;2;1;3;4;2;3;2;1;1;1;3;1;1;4;2;1;1;2;4;3;2;1;0;21;7
no;yes;no;no;no;maybe;2;4;5;5;5;1;1;2;2;1;3;2;3;4;4;4;4;4;1;1;3;1;1;1;1;1;3;2;5;0;24;5
no;no;no;no;yes;maybe;2;3;3;5;5;1;1;3;2;3;4;1;2;2;1;1;3;2;1;3;3;3;1;1;2;1;6;5;5;1;49;7
maybe;maybe;maybe;maybe;maybe;maybe;1;2;2;3;3;2;2;2;1;3;3;1;2;1;2;2;2;2;1;1;1;2;1;1;2;3;4;5;4;1;41;4
maybe;maybe;maybe;no;maybe;maybe;2;2;2;5;5;2;1;3;1;2;2;1;3;2;1;2;2;2;1;1;1;1;1;1;1;1;4;2;1;1;23;3
no;no;no;no;no;no;2;3;1;5;4;3;1;5;2;4;4;2;3;2;4;4;4;2;1;2;3;1;1;1;1;1;1;5;2;1;27;4
no;no;no;maybe;maybe;maybe;3;3;2;3;4;1;1;2;3;3;3;2;3;2;3;3;3;3;1;1;1;1;1;1;1;1;4;1;1;0;23;6
no;no;no;no;maybe;maybe;3;5;4;5;5;1;3;3;1;4;4;2;2;1;3;2;2;4;1;1;2;4;2;2;2;4;6;2;1;0;26;4
maybe;yes;maybe;maybe;no;no;4;4;2;5;4;2;1;3;3;2;3;1;1;1;3;3;3;2;1;3;3;1;2;5;5;4;6;2;1;0;24;6
maybe;maybe;no;maybe;maybe;maybe;2;3;2;5;5;1;1;3;1;4;4;2;2;3;3;2;2;2;1;1;2;1;1;1;3;2;4;5;2;1;27;3
maybe;maybe;maybe;maybe;maybe;yes;1;2;2;4;4;3;5;4;1;3;3;2;3;2;4;3;3;3;2;3;4;1;1;2;3;1;7;5;5;1;43;5
no;yes;no;no;no;maybe;1;3;2;5;3;5;5;2;2;2;4;1;2;1;2;2;2;2;1;1;3;1;1;1;1;2;4;1;2;1;31;4
no;no;no;no;no;no;2;5;2;4;5;2;2;3;2;4;3;2;3;2;2;3;2;2;1;3;5;2;2;1;3;2;4;5;2;1;25;5
maybe;yes;no;maybe;maybe;maybe;1;2;4;5;5;4;5;3;3;4;4;4;2;1;4;4;4;4;1;1;1;1;1;1;5;1;5;5;5;0;24;1
maybe;maybe;maybe;yes;yes;maybe;5;4;5;5;5;1;1;5;3;2;4;3;3;3;3;2;2;3;1;2;3;4;2;1;1;1;3;3;1;1;24;7
maybe;maybe;maybe;maybe;maybe;maybe;2;2;1;5;5;1;1;4;4;4;4;4;2;2;2;4;4;4;3;3;4;2;4;2;2;3;4;5;1;0;21;7
maybe;yes;maybe;maybe;yes;yes;1;4;1;5;5;2;2;2;1;3;4;2;1;1;2;1;2;2;1;2;2;2;1;1;1;1;3;2;1;1;20;2
no;no;no;no;maybe;maybe;4;2;2;5;4;3;2;3;2;4;4;1;3;2;1;1;1;1;1;2;1;1;2;1;1;2;21;5;3;1;21;3
