IDQ;hobby_1;hobby_2;hobby_3;hobby_4;hobby_5;hobby_6;hobby_7;hobby_8;hobby_9;hobby_10;hobby_11;hobby_12;own_mm_1;own_mm_2;own_mm_3;own_mm_4;own_mm_5;own_mm_6;own_mm_7;own_mm_8;own_mm_9;own_mm_10;own_mm_11;info_1;info_2;info_3;info_4;info_5;info_6;info_7;info_8;info_9;nq_kids;nq_gender;cam_crit_1;cam_crit_2;cam_crit_3;cam_crit_4;cam_crit_5;cam_crit_6;cam_brand;TV_crit_1;TV_crit_2;TV_crit_3;TV_crit_4;TV_crit_5;TV_crit_6;TV_brand;notebook_crit_1;notebook_crit_2;notebook_crit_3;notebook_crit_4;notebook_crit_5;notebook_crit_6;notebook_brand;vendor_TV;vendor_desktopPC;vendor_notebook;vendor_pocketcamera;vendor_SLRcamera
254;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;0;1;0;2;M;5;6;1;3;4;2;Sony;4;1;3;6;5;2;Samsung;6;4;1;2;3;5;Apple;V_4;V_4;V_4;V_4;V_4
255;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;M;5;1;6;4;2;3;Sony;4;2;1;6;5;3;Panasonic;6;2;5;4;3;1;Dell;V_4;V_99;V_6;V_2;V_4
256;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;F;6;4;5;3;1;2;Canon;3;1;2;6;4;5;Sony;4;3;2;6;5;1;Apple;V_2;V_2;V_1;V_1;V_2
257;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;1;1;2;F;5;6;4;3;2;1;Other;6;3;2;1;5;4;Sony;4;5;6;2;3;1;Other;V_1;V_7;V_7;V_1;V_1
258;0;1;1;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;1;F;6;4;1;2;3;5;Other;4;2;3;5;6;1;DontKnow;6;3;1;5;2;4;Apple;V_1;V_6;V_6;V_1;V_7
259;0;1;0;0;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;1;1;0;1;0;0;0;0;0;1;1;0;1;F;6;3;4;2;1;5;Nikon;6;2;1;3;5;4;Other;6;2;1;5;4;3;Apple;V_4;V_4;V_4;V_4;V_4
260;0;0;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;M;6;5;3;4;2;1;Canon;4;2;1;6;5;3;Samsung;5;2;6;3;4;1;Apple;V_4;V_4;V_99;V_2;V_6
261;0;1;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1;0;F;4;6;2;1;5;3;DontKnow;4;1;2;6;5;3;DontKnow;6;5;1;2;3;4;DontKnow;V_1;V_1;V_99;V_1;V_1
262;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;F;6;5;4;2;3;1;Sony;4;1;2;5;6;3;Philips;6;5;1;3;4;2;HP;V_4;V_99;V_99;V_4;V_4
263;0;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;F;6;3;2;1;4;5;Sony;5;1;3;6;4;2;Sony;6;2;3;4;1;5;Apple;V_99;V_6;V_6;V_99;V_99
264;0;1;1;1;0;0;1;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;F;6;5;4;2;3;1;Canon;4;3;2;5;6;1;Other;4;6;2;5;1;3;HP;V_99;V_7;V_99;V_1;V_7
265;0;1;1;0;1;1;0;1;1;0;1;0;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0;1;0;1;1;0;1;M;6;5;3;4;1;2;Nikon;3;2;1;6;4;5;Philips;6;5;3;4;2;1;Sony;V_1;V_1;V_1;V_1;V_1
266;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;1;M;2;1;4;3;6;5;DontKnow;1;3;6;2;5;4;Sony;3;1;6;4;5;2;DontKnow;V_7;V_1;V_1;V_1;V_7
267;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;0;1;0;1;1;0;1;0;1;1;0;0;1;0;1;0;0;1;M;6;2;5;3;4;1;Nikon;3;1;4;5;6;2;Panasonic;5;6;4;1;2;3;HP;V_2;V_1;V_1;V_1;V_4
268;0;1;1;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;M;2;6;3;1;5;4;Canon;3;1;2;5;6;4;Philips;6;3;1;2;4;5;HP;V_4;V_2;V_1;V_1;V_1
269;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;1;0;1;1;1;0;F;6;5;4;1;3;2;Nikon;6;2;4;5;1;3;Sony;6;5;3;4;2;1;Sony;V_6;V_2;V_1;V_4;V_2
270;0;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;F;5;6;4;3;1;2;Canon;3;2;1;5;6;4;Panasonic;5;4;2;3;6;1;HP;V_4;V_4;V_4;V_2;V_4
271;0;1;0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;0;0;1;0;0;1;1;0;0;1;1;M;6;5;3;1;2;4;Nikon;6;1;2;5;4;3;Sony;6;5;1;3;4;2;HP;V_7;V_4;V_4;V_1;V_1
272;0;0;1;0;1;1;0;1;1;0;1;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;2;F;5;6;1;3;2;4;DontKnow;4;3;2;6;5;1;DontKnow;4;6;3;5;1;2;Other;V_2;V_2;V_2;V_2;V_2
273;1;0;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;1;0;0;1;0;F;6;4;3;1;2;5;Canon;5;3;2;6;4;1;Sony;5;6;1;4;2;3;HP;V_99;V_7;V_99;V_99;V_99
274;0;0;1;0;1;1;0;1;1;1;0;0;1;0;1;1;1;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;1;F;1;4;2;5;3;6;Canon;2;3;5;4;6;1;Sony;5;6;1;4;2;3;Toshiba;V_1;V_1;V_1;V_1;V_1
275;0;0;1;0;1;1;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1;1;F;6;5;2;3;4;1;Nikon;5;2;4;3;6;1;DontKnow;6;5;1;2;3;4;DontKnow;V_99;V_99;V_99;V_99;V_99
276;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;1;2;F;6;3;2;1;5;4;Canon;4;1;3;6;5;2;Philips;6;5;1;2;3;4;HP;V_1;V_1;V_1;V_1;V_99
277;0;1;0;1;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;F;6;5;4;1;3;2;Canon;5;1;4;6;3;2;Sony;5;4;3;6;2;1;HP;V_7;V_7;V_1;V_1;V_7
278;0;0;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;2;M;1;2;6;3;4;5;Sony;1;2;3;5;6;4;Philips;1;5;2;3;6;4;Apple;V_4;V_99;V_1;V_1;V_1
279;1;1;1;0;0;1;0;1;1;0;0;1;0;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;0;1;1;1;1;M;6;3;5;4;2;1;Canon;2;3;1;6;5;4;DontKnow;6;2;5;4;3;1;HP;V_2;V_2;V_2;V_2;V_2
280;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;M;5;4;3;2;1;6;Nikon;4;3;1;6;5;2;DontKnow;5;6;4;3;2;1;Apple;V_1;V_4;V_1;V_1;V_1
281;1;1;0;0;0;1;0;1;1;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;M;5;4;6;1;3;2;Canon;5;1;2;4;6;3;Samsung;6;4;3;5;2;1;HP;V_1;V_1;V_1;V_1;V_1
282;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;F;6;2;5;3;1;4;DontKnow;5;3;2;6;4;1;Panasonic;5;6;1;4;3;2;Apple;V_4;V_4;V_4;V_2;V_2
283;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;1;0;1;1;F;2;1;3;5;4;6;Other;3;6;4;2;1;5;Samsung;3;2;1;4;5;6;Apple;V_99;V_7;V_99;V_99;V_7
284;0;1;0;0;1;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;1;1;0;0;1;1;1;0;0;1;1;1;0;M;6;4;3;5;2;1;Canon;4;1;3;6;5;2;Sony;4;6;2;5;1;3;DontKnow;V_2;V_6;V_6;V_2;V_2
285;1;0;0;0;1;1;0;1;0;1;0;0;1;0;1;1;1;1;0;1;0;1;1;0;0;1;1;1;0;0;0;0;2;M;6;5;2;1;3;4;Canon;5;1;3;4;6;2;DontKnow;6;5;3;4;1;2;HP;V_6;V_6;V_6;V_6;V_6
286;1;0;1;0;1;1;0;1;0;1;1;0;1;1;0;0;1;1;1;1;0;1;0;0;1;0;0;0;0;1;0;1;1;F;5;6;2;3;4;1;Other;5;1;3;6;4;2;Philips;5;2;1;3;4;6;Dell;V_4;V_1;V_1;V_1;V_1
287;0;0;1;1;1;1;0;1;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;F;2;5;6;4;1;3;Other;4;2;1;6;5;3;Sony;3;6;2;5;4;1;Sony;V_4;V_4;V_4;V_4;V_4
288;1;1;0;1;0;1;0;0;1;0;0;1;1;1;1;1;1;0;0;1;0;1;1;0;0;0;0;0;1;1;1;0;1;M;6;3;2;4;5;1;DontKnow;6;1;4;2;5;3;DontKnow;6;2;1;5;4;3;DontKnow;V_2;V_2;V_2;V_2;V_1
289;1;0;1;0;0;1;0;0;1;1;1;0;1;1;1;0;1;1;1;1;0;1;0;1;1;0;1;1;1;0;0;0;2;M;5;2;6;3;4;1;DontKnow;6;1;3;4;5;2;DontKnow;6;5;1;2;3;4;DontKnow;V_99;V_99;V_99;V_99;V_99
290;0;0;1;0;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;F;6;3;5;4;2;1;Canon;5;6;4;1;2;3;Philips;2;1;6;5;4;3;DontKnow;V_7;V_7;V_99;V_99;V_99
291;0;1;1;0;0;1;1;1;1;0;1;0;0;0;1;1;1;0;1;1;0;0;0;1;0;1;1;0;0;1;0;0;1;F;5;6;3;2;4;1;Other;5;1;2;4;6;3;DontKnow;6;5;2;4;3;1;DontKnow;V_99;V_99;V_2;V_2;V_2
292;0;0;0;0;0;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0;1;1;F;1;6;3;2;4;5;Canon;2;5;3;6;1;4;DontKnow;1;2;5;6;4;3;DontKnow;V_4;V_4;V_4;V_1;V_7
293;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;2;M;5;4;2;1;6;3;Nikon;3;1;4;5;6;2;Sony;4;5;2;3;1;6;HP;V_1;V_1;V_1;V_1;V_1
294;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;2;F;6;5;2;1;4;3;Canon;3;2;4;5;6;1;Samsung;6;3;1;2;4;5;DontKnow;V_99;V_99;V_99;V_99;V_99
295;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;F;6;5;2;1;4;3;DontKnow;2;3;4;5;6;1;DontKnow;6;3;1;2;4;5;DontKnow;V_99;V_99;V_99;V_99;V_99
296;0;0;1;0;1;1;0;1;1;0;0;1;1;1;1;1;1;1;0;1;0;1;0;1;1;1;1;1;0;1;0;1;2;M;6;3;5;2;4;1;DontKnow;6;1;3;4;5;2;DontKnow;6;5;2;1;3;4;HP;V_1;V_1;V_1;V_99;V_1
297;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;1;0;0;1;0;1;F;6;5;3;1;4;2;Sony;4;1;3;6;5;2;Samsung;6;4;3;1;2;5;Apple;V_2;V_1;V_1;V_2;V_2
298;0;1;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;F;4;6;2;1;3;5;Canon;1;3;4;2;5;6;Samsung;6;2;4;3;5;1;Sony;V_2;V_1;V_1;V_1;V_2
299;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;2;F;1;3;2;4;6;5;Sony;1;5;6;2;3;4;Sony;1;2;4;3;5;6;Apple;V_99;V_99;V_99;V_99;V_99
300;0;0;1;0;1;1;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;F;1;6;3;4;5;2;Sony;5;6;4;1;2;3;Samsung;1;4;2;6;5;3;Other;V_4;V_6;V_6;V_6;V_99
301;0;0;1;1;1;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;0;1;0;F;6;4;1;2;5;3;Nikon;4;1;3;5;6;2;Sony;6;3;1;2;4;5;Apple;V_2;V_99;V_1;V_99;V_99
302;0;1;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;M;6;2;3;1;5;4;Other;6;1;4;3;5;2;Sony;6;4;1;2;3;5;Apple;V_1;V_1;V_1;V_1;V_1
303;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;1;M;5;6;2;1;3;4;Nikon;4;2;3;6;5;1;Sony;6;5;4;2;1;3;Toshiba;V_2;V_4;V_4;V_99;V_2
304;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;1;0;1;1;1;1;1;0;1;1;1;2;M;5;1;6;2;4;3;Other;4;1;3;6;5;2;Sony;4;2;3;5;1;6;Apple;V_4;V_2;V_99;V_4;V_2
305;1;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;M;6;3;5;2;1;4;Sony;5;1;3;6;4;2;Philips;5;6;2;4;3;1;HP;V_2;V_7;V_99;V_2;V_2
306;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;F;6;4;5;3;2;1;DontKnow;5;4;1;6;3;2;Philips;6;5;3;2;4;1;Other;V_7;V_7;V_7;V_1;V_1
307;0;1;1;0;0;1;0;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;1;0;0;0;0;0;0;1;1;0;1;F;5;6;3;2;4;1;Canon;6;1;5;3;4;2;Philips;6;3;2;1;4;5;Apple;V_4;V_7;V_7;V_7;V_7
308;0;0;1;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;1;0;0;0;1;F;5;6;4;3;1;2;Canon;6;2;1;3;5;4;DontKnow;6;5;1;4;2;3;DontKnow;V_2;V_1;V_1;V_1;V_1
309;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;2;F;6;2;1;5;4;3;Sony;5;1;3;2;6;4;Philips;5;6;3;4;1;2;HP;V_7;V_7;V_99;V_99;V_99
310;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;1;1;1;0;1;0;1;1;0;1;0;0;0;0;0;1;1;2;F;4;3;1;2;5;6;Sony;3;6;5;2;1;4;Philips;5;6;2;4;1;3;Sony;V_4;V_4;V_4;V_4;V_7
311;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;2;F;6;4;2;1;5;3;Canon;6;1;4;3;5;2;Philips;6;4;1;3;2;5;Dell;V_6;V_6;V_6;V_6;V_6
312;1;0;0;1;0;0;0;1;1;0;0;0;1;1;0;1;1;1;1;1;0;1;1;1;1;0;0;1;1;0;0;0;1;M;5;6;3;1;4;2;Nikon;4;6;1;2;5;3;Other;2;4;3;6;5;1;HP;V_1;V_1;V_1;V_2;V_2
313;1;0;1;1;1;0;0;1;1;1;1;0;1;0;1;1;1;1;0;1;1;0;1;1;0;0;0;1;1;1;0;1;0;F;1;6;5;3;4;2;Canon;4;1;3;6;5;2;Sony;5;6;1;4;3;2;HP;V_4;V_99;V_99;V_1;V_1
314;1;0;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;0;0;1;1;M;5;6;2;4;3;1;Other;6;1;3;4;5;2;Panasonic;6;4;2;5;1;3;HP;V_2;V_99;V_7;V_1;V_6
315;0;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;1;0;1;0;1;2;F;6;2;1;4;5;3;Nikon;5;1;4;6;3;2;Sony;5;2;4;3;1;6;Apple;V_4;V_7;V_7;V_1;V_1
316;0;0;1;1;0;1;0;1;1;1;1;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;F;1;4;5;6;2;3;DontKnow;4;1;3;5;6;2;DontKnow;5;6;1;3;2;4;HP;V_7;V_4;V_4;V_1;V_1
317;0;1;1;0;1;0;0;0;0;1;1;1;1;0;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;1;1;1;2;F;4;1;5;3;6;2;Nikon;2;4;6;1;3;5;Samsung;4;5;2;3;1;6;Apple;V_6;V_99;V_1;V_6;V_6
318;0;0;1;0;1;1;0;1;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;M;5;2;3;1;4;6;DontKnow;5;1;2;4;3;6;DontKnow;6;4;1;2;5;3;Acer;V_1;V_1;V_1;V_99;V_99
319;0;0;1;1;1;1;0;1;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;F;4;2;1;6;3;5;Nikon;6;5;3;1;2;4;Sony;6;1;4;2;5;3;Acer;V_99;V_2;V_2;V_1;V_1
320;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;F;6;4;3;1;2;5;DontKnow;5;1;3;6;4;2;DontKnow;6;5;1;3;4;2;DontKnow;V_1;V_1;V_4;V_1;V_1
321;0;0;1;1;0;1;1;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;1;2;F;6;5;2;1;4;3;Nikon;6;1;3;5;4;2;Samsung;6;3;4;1;2;5;HP;V_1;V_7;V_7;V_2;V_7
322;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;0;0;0;1;2;M;6;5;3;2;4;1;Other;4;3;2;6;5;1;Samsung;2;6;4;5;3;1;Apple;V_6;V_6;V_6;V_6;V_6
323;1;0;1;0;0;0;0;0;1;1;0;0;1;0;1;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;M;6;4;1;2;3;5;Other;6;3;5;4;1;2;Sony;6;4;1;2;3;5;Sony;V_6;V_6;V_6;V_6;V_6
324;1;1;1;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;2;F;6;5;3;2;4;1;DontKnow;4;1;2;6;5;3;DontKnow;6;5;3;4;1;2;DontKnow;V_2;V_2;V_2;V_2;V_2
325;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;1;1;1;1;0;1;0;1;1;1;1;M;6;5;4;3;1;2;Canon;6;1;2;5;4;3;Sony;6;5;3;4;1;2;Apple;V_1;V_1;V_1;V_1;V_1
326;0;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;F;1;2;5;4;3;6;DontKnow;2;6;5;4;1;3;Sony;1;2;5;6;3;4;DontKnow;V_2;V_2;V_2;V_2;V_2
327;1;0;1;0;0;1;0;1;1;0;1;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;F;6;5;3;1;4;2;Canon;5;2;3;6;1;4;DontKnow;6;5;2;3;1;4;DontKnow;V_99;V_99;V_2;V_2;V_2
328;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;F;3;2;5;6;1;4;Canon;1;6;5;2;4;3;Panasonic;1;5;6;4;2;3;Apple;V_4;V_4;V_4;V_4;V_1
329;1;0;1;0;1;1;0;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;0;1;F;5;6;3;1;2;4;DontKnow;4;1;3;5;6;2;Panasonic;5;6;4;1;3;2;DontKnow;V_7;V_7;V_1;V_4;V_4
330;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;1;F;6;2;3;1;5;4;Canon;3;1;6;5;4;2;Philips;6;5;2;3;1;4;HP;V_7;V_6;V_4;V_6;V_6
331;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;F;2;3;6;5;4;1;Nikon;5;1;3;6;2;4;DontKnow;6;5;1;2;4;3;HP;V_1;V_1;V_1;V_1;V_1
332;1;0;1;1;1;0;1;1;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;1;1;0;0;1;1;0;1;0;0;M;6;2;1;3;4;5;Nikon;4;2;5;6;3;1;Other;4;6;2;3;1;5;Toshiba;V_7;V_1;V_1;V_1;V_1
333;0;0;1;0;1;1;0;1;0;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;0;1;1;1;2;M;6;3;1;2;4;5;Canon;6;1;2;3;5;4;DontKnow;6;1;3;4;2;5;DontKnow;V_4;V_7;V_6;V_1;V_1
334;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;M;4;3;5;1;2;6;Canon;2;6;3;5;1;4;Samsung;1;3;5;4;6;2;Dell;V_4;V_7;V_7;V_6;V_6
335;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1;M;6;4;2;1;5;3;Canon;3;1;4;5;6;2;Samsung;6;1;2;3;5;4;Acer;V_1;V_99;V_99;V_1;V_1
336;0;0;0;0;1;0;0;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;F;6;4;3;1;2;5;Nikon;4;1;2;6;5;3;DontKnow;6;4;2;1;5;3;DontKnow;V_99;V_99;V_99;V_99;V_99
337;0;0;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;F;5;4;6;3;2;1;Sony;5;2;3;6;4;1;Samsung;5;6;2;4;3;1;Other;V_4;V_7;V_99;V_4;V_4
338;0;1;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;0;1;1;1;1;F;5;3;6;4;2;1;DontKnow;6;2;1;5;4;3;Sony;6;4;3;2;5;1;Apple;V_1;V_1;V_1;V_99;V_99
339;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;F;4;5;1;6;3;2;DontKnow;3;2;6;5;1;4;Sony;1;6;5;3;2;4;Acer;V_4;V_99;V_4;V_2;V_4
