IDQ;hobby_1;hobby_2;hobby_3;hobby_4;hobby_5;hobby_6;hobby_7;hobby_8;hobby_9;hobby_10;hobby_11;hobby_12;own_mm_1;own_mm_2;own_mm_3;own_mm_4;own_mm_5;own_mm_6;own_mm_7;own_mm_8;own_mm_9;own_mm_10;own_mm_11;info_1;info_2;info_3;info_4;info_5;info_6;info_7;info_8;info_9;nq_kids;nq_gender;cam_crit_1;cam_crit_2;cam_crit_3;cam_crit_4;cam_crit_5;cam_crit_6;cam_brand;TV_crit_1;TV_crit_2;TV_crit_3;TV_crit_4;TV_crit_5;TV_crit_6;TV_brand;notebook_crit_1;notebook_crit_2;notebook_crit_3;notebook_crit_4;notebook_crit_5;notebook_crit_6;notebook_brand;vendor_TV;vendor_desktopPC;vendor_notebook;vendor_pocketcamera;vendor_SLRcamera
340;0;1;1;1;1;1;0;1;1;0;1;0;1;1;0;1;1;1;0;1;1;1;0;0;0;0;1;0;0;1;1;1;2;F;6;2;5;3;1;4;Nikon;6;2;3;4;5;1;Sony;6;3;5;4;2;1;HP;V_6;V_6;V_2;V_6;V_6
341;0;0;0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;2;F;5;4;3;2;1;6;Other;3;2;1;6;5;4;Samsung;5;3;6;4;2;1;DontKnow;V_7;V_7;V_7;V_7;V_4
342;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;1;F;2;3;4;5;1;6;Other;1;6;3;4;2;5;Samsung;1;5;4;6;3;2;Apple;V_6;V_6;V_6;V_6;V_6
343;1;1;1;0;0;1;1;1;1;1;0;1;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;1;M;4;3;5;2;1;6;Nikon;6;1;2;5;4;3;Samsung;6;5;4;3;1;2;Apple;V_4;V_7;V_7;V_4;V_4
344;0;0;0;1;0;1;0;1;1;1;0;0;1;0;0;1;1;1;0;1;0;1;0;0;0;1;1;0;0;0;1;1;2;F;6;5;3;2;4;1;DontKnow;6;1;3;5;2;4;DontKnow;6;5;1;2;3;4;Apple;V_2;V_99;V_1;V_1;V_1
345;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;2;M;6;5;2;1;4;3;Sony;4;1;3;5;6;2;Sony;5;6;1;4;2;3;Acer;V_1;V_7;V_7;V_1;V_7
346;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;1;0;0;0;1;0;0;0;1;2;F;6;5;3;2;1;4;Canon;4;3;1;6;5;2;Sony;5;4;6;3;2;1;HP;V_2;V_2;V_1;V_2;V_99
347;0;0;1;1;0;1;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;2;F;6;4;5;1;2;3;Sony;4;3;2;5;6;1;Sony;6;3;5;4;1;2;Toshiba;V_4;V_4;V_4;V_6;V_4
348;0;0;1;0;0;1;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;2;F;6;4;3;1;5;2;Nikon;3;1;4;6;5;2;Panasonic;6;4;1;3;2;5;Acer;V_7;V_7;V_7;V_7;V_7
349;1;1;1;0;1;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;1;0;F;6;5;4;3;1;2;Canon;3;4;1;5;6;2;Philips;6;5;3;4;2;1;Apple;V_99;V_7;V_99;V_99;V_99
350;0;0;0;1;1;0;0;0;1;1;1;0;1;1;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;0;2;M;6;2;4;3;5;1;Sony;6;2;4;5;1;3;Panasonic;1;3;6;4;2;5;DontKnow;V_7;V_7;V_99;V_2;V_2
351;1;1;1;0;0;1;0;0;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;1;1;M;3;4;1;2;6;5;Other;3;2;1;5;6;4;DontKnow;5;6;4;3;2;1;Dell;V_4;V_99;V_4;V_4;V_4
352;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;0;1;1;0;1;F;5;2;4;1;6;3;Canon;4;5;6;1;2;3;Philips;3;5;4;1;2;6;HP;V_1;V_1;V_1;V_1;V_1
353;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;1;1;1;1;F;6;5;4;2;3;1;Canon;5;3;2;4;6;1;DontKnow;6;5;3;4;2;1;DontKnow;V_1;V_1;V_1;V_1;V_1
354;0;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;F;6;5;2;1;4;3;DontKnow;5;2;3;6;4;1;DontKnow;5;6;2;3;4;1;Acer;V_4;V_4;V_4;V_99;V_99
355;0;0;1;1;1;0;0;0;0;1;0;1;0;0;1;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;2;F;6;4;2;5;1;3;DontKnow;4;3;5;2;1;6;DontKnow;4;6;3;2;5;1;DontKnow;V_6;V_6;V_6;V_6;V_6
356;1;0;1;0;0;1;0;1;1;1;1;1;0;1;0;1;1;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;2;M;5;6;4;2;3;1;DontKnow;2;1;5;6;4;3;Other;4;1;3;2;5;6;Apple;V_99;V_99;V_99;V_99;V_99
357;0;0;1;0;1;1;0;1;1;1;0;0;1;0;1;1;1;1;1;1;0;1;0;1;1;0;0;0;0;1;1;0;0;M;4;2;3;5;6;1;Sony;6;1;4;3;5;2;Sony;5;6;1;2;3;4;Sony;V_1;V_1;V_1;V_1;V_1
358;0;0;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;F;6;3;4;5;1;2;Sony;5;3;1;6;2;4;Philips;6;3;4;2;5;1;Apple;V_2;V_2;V_2;V_2;V_99
359;1;0;1;0;0;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;1;F;6;5;2;3;4;1;Sony;6;2;3;5;4;1;Panasonic;6;4;3;5;2;1;Apple;V_4;V_4;V_4;V_4;V_4
360;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;2;M;4;2;6;1;3;5;Nikon;5;3;2;4;6;1;Samsung;2;5;3;6;1;4;Apple;V_6;V_99;V_99;V_6;V_6
361;0;1;1;0;1;0;0;0;1;0;1;1;0;0;1;1;1;1;1;0;1;0;1;0;1;0;0;0;0;1;1;1;1;F;1;2;4;6;5;3;Nikon;1;6;3;2;4;5;Panasonic;6;5;1;4;3;2;Apple;V_4;V_1;V_4;V_2;V_7
362;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;0;0;0;0;0;1;M;5;3;2;1;6;4;Other;2;1;6;5;4;3;Sony;4;5;1;3;2;6;Apple;V_2;V_99;V_99;V_2;V_2
363;0;0;0;0;1;1;0;1;1;0;0;0;1;1;1;1;0;1;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0;F;4;1;5;2;6;3;DontKnow;4;1;2;5;6;3;DontKnow;3;6;4;5;1;2;Acer;V_99;V_99;V_99;V_99;V_99
364;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;1;0;1;0;1;0;F;6;5;3;1;2;4;DontKnow;4;3;1;6;5;2;DontKnow;6;5;2;3;4;1;DontKnow;V_4;V_7;V_7;V_1;V_99
365;0;1;1;0;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;F;6;2;5;4;3;1;DontKnow;4;1;3;6;5;2;DontKnow;6;5;1;4;3;2;DontKnow;V_7;V_1;V_1;V_99;V_99
366;1;0;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;0;1;0;M;6;2;5;1;3;4;Canon;5;1;2;6;4;3;Sony;3;1;6;2;5;4;Apple;V_4;V_7;V_7;V_1;V_4
367;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;1;1;1;1;1;1;1;0;1;1;0;0;1;0;0;0;0;1;M;6;1;5;3;2;4;DontKnow;6;3;2;5;4;1;DontKnow;6;4;3;5;2;1;DontKnow;V_4;V_4;V_6;V_2;V_7
368;1;0;1;0;0;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;M;5;2;4;1;3;6;Canon;6;1;3;5;2;4;DontKnow;1;6;3;4;5;2;Apple;V_99;V_1;V_1;V_4;V_4
369;0;0;1;1;1;1;1;1;1;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;M;6;5;2;1;3;4;DontKnow;4;1;2;6;5;3;DontKnow;6;5;1;3;4;2;DontKnow;V_99;V_7;V_7;V_99;V_99
370;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;1;0;1;0;0;1;0;1;0;0;1;0;1;0;M;6;2;5;1;4;3;DontKnow;6;2;3;4;1;5;DontKnow;6;5;2;4;1;3;DontKnow;V_99;V_7;V_7;V_1;V_99
371;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;0;1;1;1;1;F;5;2;6;3;4;1;DontKnow;4;2;3;5;6;1;Sony;3;6;2;5;1;4;Dell;V_99;V_99;V_99;V_99;V_99
372;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;M;6;5;4;1;3;2;DontKnow;6;1;3;5;4;2;Philips;6;3;2;1;4;5;HP;V_99;V_99;V_99;V_99;V_99
373;0;0;1;0;0;0;0;0;1;0;1;0;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;F;2;5;3;1;4;6;Other;3;2;1;5;6;4;Samsung;6;5;3;4;2;1;Other;V_2;V_2;V_2;V_1;V_1
374;0;0;1;1;0;1;0;1;1;0;1;0;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;1;2;F;5;4;3;2;1;6;Sony;4;2;1;5;6;3;Sony;5;3;2;4;6;1;Apple;V_4;V_4;V_4;V_4;V_4
375;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;F;6;4;2;1;5;3;DontKnow;6;1;3;5;4;2;DontKnow;6;5;1;2;4;3;DontKnow;V_7;V_7;V_7;V_7;V_7
376;0;0;0;1;0;1;0;0;0;1;1;0;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;1;1;2;F;6;5;3;2;4;1;Sony;4;1;3;6;5;2;DontKnow;5;6;2;3;4;1;DontKnow;V_2;V_2;V_2;V_6;V_6
377;0;0;0;1;0;0;1;0;0;1;0;0;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;F;6;4;1;3;2;5;DontKnow;4;1;3;6;5;2;DontKnow;6;5;2;3;4;1;Other;V_2;V_99;V_4;V_2;V_7
378;1;0;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;2;F;2;1;4;6;5;3;Sony;6;1;2;5;4;3;Samsung;6;5;1;4;3;2;Sony;V_2;V_2;V_2;V_2;V_2
379;1;0;1;0;1;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;1;0;1;0;1;0;1;0;0;0;0;F;1;2;3;4;6;5;Canon;3;4;5;1;2;6;Philips;1;4;3;6;2;5;Apple;V_6;V_6;V_99;V_6;V_2
380;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;1;1;0;M;5;4;1;2;6;3;Other;3;1;4;6;5;2;Samsung;3;5;1;2;6;4;Apple;V_7;V_7;V_7;V_7;V_7
381;0;0;1;0;1;1;0;1;0;0;0;1;0;1;1;1;1;1;0;0;1;1;0;0;1;0;0;1;0;0;1;0;1;F;6;3;5;4;2;1;Sony;5;3;2;6;4;1;Sony;6;5;4;3;1;2;Acer;V_6;V_6;V_6;V_6;V_6
382;1;0;1;0;0;1;0;1;1;0;0;0;1;1;1;1;1;1;0;1;1;0;0;1;1;1;0;0;0;1;1;1;0;M;5;6;3;2;1;4;Sony;4;1;2;6;5;3;Sony;6;3;2;5;4;1;Dell;V_99;V_7;V_7;V_4;V_4
383;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;F;6;5;3;4;1;2;Other;3;1;2;6;5;4;Philips;5;6;1;2;4;3;Apple;V_99;V_99;V_99;V_99;V_99
384;0;1;1;0;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;0;0;1;0;0;0;1;F;6;5;2;1;4;3;Canon;6;1;5;3;4;2;Other;5;4;1;3;2;6;Apple;V_6;V_7;V_7;V_6;V_6
385;0;1;1;0;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;1;F;6;4;2;5;3;1;DontKnow;5;3;4;6;2;1;DontKnow;6;2;3;1;5;4;Dell;V_2;V_99;V_99;V_99;V_99
386;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;2;F;6;4;3;1;5;2;Canon;6;1;3;5;4;2;Sony;6;4;2;1;3;5;Dell;V_4;V_4;V_4;V_4;V_1
387;0;0;0;0;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;2;M;3;2;1;6;4;5;Other;3;6;2;1;5;4;Panasonic;1;2;6;5;4;3;Apple;V_7;V_7;V_7;V_1;V_1
388;0;1;0;1;1;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;F;6;3;5;1;4;2;Other;4;2;3;6;5;1;Samsung;6;3;2;5;1;4;Apple;V_99;V_7;V_7;V_1;V_1
389;0;0;1;0;1;1;0;0;1;0;0;1;1;0;1;0;1;0;1;1;0;1;1;1;1;0;0;1;0;1;1;1;1;F;6;4;2;5;3;1;Canon;5;2;3;6;4;1;Sony;6;5;2;1;4;3;Apple;V_4;V_7;V_7;V_4;V_7
390;1;1;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;1;0;F;6;5;2;1;4;3;Nikon;6;1;3;5;2;4;Philips;2;3;4;6;5;1;DontKnow;V_99;V_99;V_99;V_99;V_99
391;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;1;1;1;0;1;1;0;0;1;1;0;0;0;0;1;1;1;F;6;5;4;3;2;1;Nikon;6;3;2;4;5;1;Sony;6;5;1;2;3;4;HP;V_2;V_2;V_2;V_2;V_4
392;0;0;1;1;0;1;0;0;1;0;1;0;1;1;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;F;5;6;3;1;4;2;Other;6;4;1;3;5;2;DontKnow;6;5;3;2;4;1;DontKnow;V_4;V_4;V_2;V_2;V_2
393;0;0;1;1;1;1;0;0;0;0;1;0;0;1;0;1;0;1;0;1;1;1;0;0;1;1;1;0;0;1;1;0;1;F;2;1;4;5;3;6;DontKnow;1;6;3;2;4;5;DontKnow;4;3;2;1;5;6;DontKnow;V_1;V_7;V_1;V_1;V_1
394;1;0;1;1;1;1;0;1;1;0;1;0;1;0;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;1;0;1;0;F;1;5;3;6;2;4;Canon;5;2;3;6;4;1;Philips;5;6;1;3;2;4;Apple;V_2;V_7;V_7;V_2;V_2
395;1;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;0;0;0;0;M;6;4;5;2;1;3;Nikon;5;1;2;6;4;3;Philips;6;2;3;4;5;1;Acer;V_1;V_2;V_4;V_1;V_1
396;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;F;1;4;3;5;2;6;DontKnow;2;5;6;1;3;4;DontKnow;2;1;3;5;4;6;Other;V_2;V_4;V_2;V_4;V_99
397;0;0;1;0;0;1;0;1;1;0;1;0;1;0;1;0;1;0;0;0;1;1;0;0;1;1;1;1;0;1;1;0;1;F;6;5;2;1;4;3;DontKnow;5;3;2;6;4;1;DontKnow;6;4;2;5;3;1;DontKnow;V_1;V_6;V_6;V_6;V_6
398;0;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;2;F;6;4;2;3;5;1;DontKnow;5;1;3;6;4;2;DontKnow;2;4;1;6;5;3;DontKnow;V_4;V_99;V_99;V_4;V_6
399;0;0;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;F;6;5;2;3;4;1;Canon;4;2;5;6;3;1;Sony;5;3;4;2;1;6;Other;V_4;V_4;V_4;V_4;V_4
400;0;0;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;1;1;1;1;F;6;5;4;2;3;1;DontKnow;5;2;3;6;4;1;Philips;6;5;1;3;2;4;Other;V_4;V_4;V_4;V_1;V_1
401;1;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;F;6;5;4;2;1;3;DontKnow;6;1;2;5;4;3;DontKnow;6;4;1;5;3;2;Other;V_99;V_99;V_4;V_99;V_99
402;1;0;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;0;2;M;6;1;3;4;2;5;Canon;5;1;3;6;4;2;Panasonic;6;2;3;5;1;4;HP;V_99;V_6;V_2;V_6;V_6
403;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;0;F;6;4;5;2;3;1;Other;6;1;3;5;2;4;Sony;6;4;1;2;3;5;Apple;V_7;V_7;V_7;V_1;V_7
404;1;0;1;0;1;0;0;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;2;F;6;5;4;2;1;3;Other;6;1;2;4;3;5;Sony;6;2;4;1;5;3;Acer;V_2;V_6;V_6;V_6;V_6
405;1;0;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;1;1;0;1;0;1;1;1;0;1;0;0;0;1;0;F;4;2;6;1;3;5;Canon;4;2;3;6;5;1;DontKnow;3;6;2;5;1;4;Apple;V_99;V_99;V_6;V_99;V_99
406;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;M;6;5;4;2;1;3;DontKnow;5;2;1;6;4;3;DontKnow;6;4;3;2;5;1;DontKnow;V_2;V_2;V_99;V_99;V_99
407;0;0;0;0;0;1;1;0;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;F;6;3;1;2;4;5;Nikon;5;1;3;6;4;2;Philips;6;5;2;1;3;4;HP;V_1;V_1;V_1;V_99;V_99
408;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;F;5;2;3;1;6;4;Canon;6;2;5;4;3;1;Panasonic;6;5;1;2;3;4;HP;V_2;V_4;V_4;V_99;V_99
409;0;1;0;0;1;0;1;0;0;1;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;2;F;6;1;2;4;5;3;Sony;1;3;4;6;5;2;DontKnow;6;1;4;3;2;5;DontKnow;V_99;V_99;V_4;V_4;V_4
410;0;1;0;0;0;1;0;1;1;0;1;0;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;0;0;1;0;0;F;6;5;1;2;4;3;Sony;4;1;3;2;6;5;Philips;5;3;1;6;4;2;HP;V_4;V_7;V_7;V_4;V_99
411;0;0;0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;F;3;1;5;2;6;4;Nikon;3;5;4;2;1;6;Panasonic;2;1;3;6;5;4;Acer;V_7;V_1;V_1;V_1;V_1
412;1;0;0;1;1;1;0;1;0;1;1;0;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;1;F;1;5;3;2;4;6;Canon;4;6;3;1;2;5;Philips;2;1;5;6;3;4;Dell;V_99;V_99;V_99;V_1;V_1
413;0;0;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;0;1;0;0;1;F;6;3;5;4;2;1;Sony;4;2;3;6;5;1;Panasonic;6;5;2;1;4;3;Acer;V_2;V_2;V_2;V_2;V_4
414;0;1;1;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;1;0;0;1;0;1;2;F;6;4;3;5;2;1;Sony;5;2;1;4;6;3;DontKnow;6;4;3;5;2;1;Dell;V_99;V_99;V_99;V_6;V_99
415;1;0;1;0;1;0;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;2;F;4;6;5;3;2;1;Canon;3;1;4;5;6;2;Philips;2;5;3;6;1;4;HP;V_7;V_99;V_2;V_99;V_99
416;0;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;0;0;1;0;0;0;0;2;F;5;3;2;1;4;6;Other;3;1;4;6;5;2;DontKnow;2;1;4;3;5;6;Apple;V_2;V_7;V_7;V_2;V_7
417;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1;0;1;M;6;4;5;3;1;2;Canon;6;1;4;5;3;2;Sony;6;5;4;2;3;1;Apple;V_7;V_1;V_1;V_2;V_7
418;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;M;3;4;5;2;6;1;DontKnow;3;1;2;5;6;4;Samsung;4;5;1;6;3;2;HP;V_7;V_7;V_7;V_7;V_7
419;0;1;0;0;1;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;F;6;5;4;2;3;1;Other;5;1;3;6;4;2;Samsung;6;1;5;2;4;3;Apple;V_4;V_2;V_2;V_2;V_4
420;0;0;1;0;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;0;2;M;5;4;2;3;6;1;Nikon;4;1;6;3;5;2;Philips;5;4;2;1;3;6;Apple;V_2;V_7;V_7;V_1;V_1
421;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;2;F;1;5;2;3;6;4;Sony;5;3;6;1;2;4;Philips;3;1;6;2;5;4;Dell;V_2;V_1;V_6;V_1;V_4
422;0;0;1;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;0;0;1;1;1;0;M;6;4;5;2;3;1;Canon;4;1;3;5;6;2;Panasonic;6;4;5;2;1;3;HP;V_4;V_4;V_4;V_1;V_4
423;1;0;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;0;0;0;1;1;0;1;0;1;1;0;0;M;6;5;2;3;4;1;Sony;4;1;2;5;6;3;Sony;4;6;2;5;3;1;Apple;V_1;V_1;V_1;V_99;V_99
424;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;1;F;6;2;4;5;3;1;Nikon;4;2;1;5;6;3;Panasonic;6;4;1;5;3;2;Acer;V_4;V_7;V_7;V_2;V_2
425;0;0;1;1;0;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;F;5;6;4;2;1;3;Sony;4;3;1;5;6;2;Sony;2;4;6;3;5;1;Apple;V_6;V_2;V_99;V_1;V_2
